JobTitle,location,State,normalized_salary,work_type,pay_period,DevType
"Modeling, Simulation & Training Ai Solution Architect","Orlando, FL",FL,202575.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Staff Machine Learning Engineer,United States,Nationwide,162000.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
"Data Analyst, Energy Efficiency (Hybrid)","Berlin, CT",CT,91000.0,FULL_TIME,YEARLY,Data or business analyst
"【For External Referral - Talent Spotters】Research Scientist For Generative Ai, Multimodal And Llm","San Jose, CA",CA,170900.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Data Engineer - Usds,"Los Angeles, CA",CA,138550.0,FULL_TIME,YEARLY,Data engineer
"Staff Data Scientist, Ssp.","San Mateo, CA",CA,204765.5,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Principal Data Engineer,"Mountain View, CA",CA,245000.0,FULL_TIME,YEARLY,Data engineer
"Senior Algorithm, Ai/Ml, Integration Engineer – Usa Remote","Portland, OR",OR,135000.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Data Analyst,"Cedar Rapids, IA",IA,141440.0,FULL_TIME,HOURLY,Data or business analyst
"Senior Software Engineer, Ai Developer Tools - Cloud Software",United States,Nationwide,259625.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
"Senior Distributed Systems Engineer, Ai Infrastructure","Santa Clara, CA",CA,212000.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
"Director, Alliances Business Development (Ai/Genai)","Armonk, NY",NY,210360.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
"Principal Data Engineer, Analytics Engineering",United States,Nationwide,215350.0,FULL_TIME,YEARLY,Data engineer
Data Analyst -Aits (Hybrid/Remote),United States,Nationwide,80000.0,FULL_TIME,YEARLY,Data or business analyst
Data Analyst - Remote,United States,Nationwide,137800.0,FULL_TIME,YEARLY,Data or business analyst
Cyber Security Specialist - Data Engineer L4 (Remote),United States,Nationwide,100000.0,FULL_TIME,YEARLY,Data engineer
"Product Marketing Manager, Generative Ai Creative","Menlo Park, CA",CA,125000.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Senior Product Manager - Ddos & Ai,United States,Nationwide,205000.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Lead Data Engineer - Databricks,United States,Nationwide,160000.0,FULL_TIME,YEARLY,Data engineer
Lead Data Scientist,Atlanta Metropolitan Area,GA,115000.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
It Business Analyst - Servicenow,"Myrtle Point, OR",OR,82500.0,FULL_TIME,YEARLY,Data or business analyst
Data Analyst/Engineer Techno Functional Analyst (Jersey City) X2,"New Jersey, United States",NJ,135200.0,CONTRACT,HOURLY,Data or business analyst
Technical Business Analyst (Jersey City And Charlotte) X4,"Jersey, NC",NC,141440.0,CONTRACT,HOURLY,Data or business analyst
Business Analyst,Kansas City Metropolitan Area,MO,88400.0,CONTRACT,HOURLY,Data or business analyst
Business Analyst,"LaGrange, GA",GA,57200.0,CONTRACT,HOURLY,Data or business analyst
Business Analyst,"Weehawken, NJ",NJ,101920.0,CONTRACT,HOURLY,Data or business analyst
Mental Health Parity Clinical Operational Data Analyst,"Boston, MA",MA,90000.0,FULL_TIME,YEARLY,Data or business analyst
Data Analyst,New York City Metropolitan Area,NY,92560.0,CONTRACT,HOURLY,Data or business analyst
Data Analyst,"Eden Prairie, MN",MN,112320.0,CONTRACT,HOURLY,Data or business analyst
Senior Business Analyst,"Ohio, United States",OH,119600.0,CONTRACT,HOURLY,Data or business analyst
Senior Data Analyst,"New York, NY",NY,130000.0,TEMPORARY,HOURLY,Data or business analyst
Accounts Receivable Manager / Business Analyst,"Naperville, IL",IL,92500.0,FULL_TIME,YEARLY,Data or business analyst
Data Engineer,"New York, NY",NY,147500.0,FULL_TIME,YEARLY,Data engineer
Corporate Counsel - Global Generative Ai Company,New York City Metropolitan Area,NY,170000.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Business Analyst,"Livonia, MI",MI,114400.0,CONTRACT,HOURLY,Data or business analyst
Senior Business Analyst,Raleigh-Durham-Chapel Hill Area,NC,98800.0,CONTRACT,HOURLY,Data or business analyst
Systems/Data Analyst - Sql/Etl,"Durham, NC",NC,124800.0,CONTRACT,HOURLY,Data or business analyst
Business Analyst (Only Usc Or Gc),"Foster City, CA",CA,80080.0,CONTRACT,HOURLY,Data or business analyst
Business Analyst,Atlanta Metropolitan Area,GA,130000.0,CONTRACT,HOURLY,Data or business analyst
Business Analyst Iii,"Atlanta, GA",GA,119600.0,CONTRACT,HOURLY,Data or business analyst
